drug_name,medical_condition,generic_name,side_effects
Truvada,AIDS/HIV,emtricitabine and tenofovir disoproxil fumarate,"hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Mild symptoms of lactic acidosis may worsen over time , and this condition can be fatal. Get emergency medical help if you have: unusual muscle pain, trouble breathing, stomach pain, vomiting , irregular heart rate, dizziness, feeling cold, or feeling very weak or tired. Call your doctor at once if you have: symptoms of new HIV infection - fever, night sweats, tiredness, muscle or joint pain, sore throat, vomiting, diarrhea, rash, swollen glands in your neck or groin; sudden or unusual bone pain; kidney problems - little or no urination, swelling in your feet or ankles, feeling tired or short of breath; or liver problems - nausea , swelling around your midsection, upper stomach pain, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Emtricitabine and tenofovir disoproxil fumarate affects your immune system, which may cause certain side effects (even weeks or months after you've taken Truvada). Tell your doctor if you have: signs of a new infection - fever, sweats, swollen glands, cold sores , cough, wheezing, diarrhea, weight loss ; trouble speaking or swallowing, problems with balance or eye movement, weakness or prickly feeling; or swelling in your neck or throat (enlarged thyroid), menstrual changes, impotence . Common Truvada side effects may include: headache , dizziness, feeling depressed or tired; trouble sleeping, strange dreams; nausea, stomach pain; weight loss; or rash."
Biktarvy,AIDS/HIV,"bictegravir, emtricitabine, and tenofovir","hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: kidney problems - little or no urination, swelling in your feet or ankles, feeling tired or short of breath; lactic acidosis - muscle pain or weakness, numbness or cold feeling, trouble breathing, stomach pain, vomiting , irregular heart rate, dizziness , or feeling very weak or tired; or liver problems - swelling around your midsection, upper stomach pain, unusual tiredness, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Biktarvy affects your immune system, which may cause certain side effects (even weeks or months after you've taken this medicine). Tell your doctor if you have: signs of a new infection - fever, night sweats , swollen glands, cold sores , cough, wheezing, diarrhea , weight loss ; trouble speaking or swallowing, problems with balance or eye movement, weakness or prickly feeling; or swelling in your neck or throat (enlarged thyroid), menstrual changes, impotence . Common Biktarvy side effects may include: nausea , diarrhea; or headache ."
Triumeq,AIDS/HIV,"abacavir, dolutegravir, and lamivudine","Call your doctor at once if you have symptoms of an allergic reaction from two or more of these specific side effect groups: Group 1 - fever; Group 2 - rash; Group 3 - nausea, vomiting, diarrhea, stomach pain; Group 4 - general ill feeling, extreme tiredness, body aches; Group 5 - shortness of breath, cough, sore throat. Once you have had an allergic reaction to a medicine that contains abacavir or dolutegravir, you must never use it again. If you stop taking Triumeq for any reason, talk to your doctor before you start taking it again. Call your doctor at once if you have: other signs of allergic reaction - skin blisters or peeling, eye redness , swelling in your face or throat, trouble breathing; lactic acidosis - unusual muscle pain, trouble breathing, stomach pain, vomiting, irregular heart rate, dizziness , feeling cold, or feeling very weak or tired; or liver problems - swelling around your midsection, right-sided upper stomach pain, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Triumeq affects your immune system, which may cause certain side effects (even weeks or months after you've taken this medicine). Tell your doctor if you have: signs of a new infection - fever, night sweats , swollen glands, cold sores , cough, wheezing, diarrhea, weight loss ; trouble speaking or swallowing, problems with balance or eye movement, weakness or prickly feeling; or swelling in your neck or throat (enlarged thyroid), menstrual changes, impotence . Common Triumeq side effects may include: headache ; tiredness; or trouble sleeping."
Genvoya,AIDS/HIV,"cobicistat, elvitegravir, emtricitabine, and tenofovir","hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: kidney problems - swelling, urinating less, feeling tired or short of breath; lactic acidosis - unusual muscle pain, trouble breathing, stomach pain, vomiting , irregular heart rate, dizziness , feeling cold, or feeling very weak or tired; or liver problems - nausea , upper stomach pain, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Antiviral medicine can affect your immune system (even weeks or months after you've used Genvoya). Tell your doctor if you have: signs of a new infection - fever, night sweats , swollen glands, cold sores , cough, wheezing, diarrhea , weight loss ; trouble speaking or swallowing, problems with balance or eye movement, weakness or prickly feeling; or swelling in your neck or throat (enlarged thyroid), menstrual changes, impotence . Common Genvoya side effects may include: nausea; or diarrhea."
Stribild,AIDS/HIV,"cobicistat, elvitegravir, emtricitabine, and tenofovir","hives ; difficult breathing; swelling of your face, lips, tongue, or throat. Call your doctor at once if you have: kidney problems - swelling, urinating less, feeling tired or short of breath; lactic acidosis - unusual muscle pain, trouble breathing, stomach pain, vomiting , irregular heart rate, dizziness , feeling cold, or feeling very weak or tired; or liver problems - nausea , upper stomach pain, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Antiviral medicine can affect your immune system (even weeks or months after you've used Stribild). Tell your doctor if you have: signs of a new infection - fever, night sweats , swollen glands, cold sores , cough, wheezing, diarrhea , weight loss ; trouble speaking or swallowing, problems with balance or eye movement, weakness or prickly feeling; or swelling in your neck or throat (enlarged thyroid), menstrual changes, impotence . Common Stribild side effects may include: nausea; or diarrhea."
Atripla,AIDS/HIV,"efavirenz, emtricitabine, and tenofovir","unusual muscle pain, trouble breathing, stomach pain, vomiting , irregular heart rate, dizziness, feeling cold, or feeling very weak or tired. Call your doctor at once if you have: unusual thoughts or behavior, anger, severe depression , thoughts of hurting yourself or others, hallucinations; a seizure (convulsions); kidney problems - increased thirst and urination, muscle pain or weakness; or liver problems - swelling around your midsection, right-sided upper stomach pain, loss of appetite, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Atripla affects your immune system, which may cause certain side effects (even weeks or months after you've taken this medicine). Tell your doctor if you have: signs of a new infection - fever, night sweats , swollen glands, cold sores , cough, wheezing, diarrhea , weight loss ; trouble speaking or swallowing, problems with balance or eye movement, weakness or prickly feeling; or swelling in your neck or throat (enlarged thyroid), menstrual changes, impotence . Common Atripla side effects may include: dizziness, drowsiness, tired feeling; nausea , diarrhea; headache , depressed mood, trouble concentrating; sleep problems ( insomnia ), strange dreams; rash; or changes in the shape or location of body fat (especially in your arms, legs, face, neck, breasts, and waist)."
Descovy,AIDS/HIV,emtricitabine and tenofovir alafenamide,"WARNING/CAUTION: Even though it may be rare, some people may have very bad and sometimes deadly side effects when taking a drug. Tell your doctor or get medical help right away if you have any of the following signs or symptoms that may be related to a very bad side effect: Signs of an allergic reaction, like rash; hives; itching; red, swollen, blistered, or peeling skin with or without fever; wheezing; tightness in the chest or throat; trouble breathing, swallowing, or talking; unusual hoarseness; or swelling of the mouth, face, lips, tongue, or throat. Signs of kidney problems like unable to pass urine, change in how much urine is passed, blood in the urine, or a big weight gain. Signs of liver problems like dark urine, feeling tired, not hungry, upset stomach or stomach pain, light-colored stools, throwing up, or yellow skin or eyes. Signs of too much lactic acid in the blood ( lactic acidosis ) like fast breathing, fast heartbeat , a heartbeat that does not feel normal, very bad upset stomach or throwing up, feeling very sleepy, shortness of breath, feeling very tired or weak, very bad dizziness , feeling cold, or muscle pain or cramps. Changes in your immune system can happen when you start taking drugs to treat HIV. If you have an infection that you did not know you had, it may show up when you take Descovy. Tell your doctor right away if you have any new signs after you start Descovy, even after taking it for several months. This includes signs of infection like fever, sore throat , weakness, cough, or shortness of breath. Descovy side effects"
Norvir,AIDS/HIV,ritonavir,"irregular heartbeats, or a light-headed feeling (like you might pass out); easy bruising, unusual bleeding (nose, mouth, vagina, or rectum), purple or red pinpoint spots under your skin; signs of a kidney stone - pain in your side or lower back, blood in your urine, painful or difficult urination; high blood sugar - increased thirst, increased urination, hunger, dry mouth, fruity breath odor; or signs of liver or pancreas problems - loss of appetite, upper stomach pain (that may spread to your back), nausea , vomiting , dark urine, jaundice (yellowing of the skin or eyes). Norvir affects your immune system, which may cause certain side effects (even weeks or months after you've taken this medicine). Tell your doctor if you have: signs of a new infection - fever, night sweats , swollen glands, cold sores , cough, wheezing, diarrhea , weight loss ; trouble speaking or swallowing, problems with balance or eye movement, weakness or prickly feeling; or swelling in your neck or throat (enlarged thyroid), menstrual changes, impotence . Common Norvir side effects may include: nausea, vomiting, stomach pain, diarrhea; numbness or tingling in your hands or feet or around your mouth; feeling weak or tired; rash; or changes in the shape or location of body fat (especially in your arms, legs, face, neck, breasts, and waist)."
Isentress,AIDS/HIV,raltegravir,"Stop taking this medicine and get emergency medical help if you have signs of an allergic reaction to Isentress: fever, general ill feeling, tiredness, joint or muscle pain, trouble breathing; upper stomach pain, vomiting, loss of appetite, dark urine, yellowing of the skin or eyes; burning eyes, blisters or mouth sores; rash, hives , blistering or peeling skin; swelling of your face, lips, tongue, or throat. In rare cases, Isentress can cause a condition that results in the breakdown of skeletal muscle tissue, leading to kidney failure . Call your doctor right away if you have unexplained muscle pain, tenderness, or weakness especially if you also have fever, unusual tiredness, or dark colored urine. Isentress affects your immune system, which may cause certain side effects (even weeks or months after you've taken this medicine). Tell your doctor if you have: signs of a new infection - fever, night sweats , swollen glands, cold sores , cough, wheezing, diarrhea , weight loss ; trouble speaking or swallowing, problems with balance or eye movement, weakness or prickly feeling; or swelling in your neck or throat (enlarged thyroid), menstrual changes, impotence . Common Isentress side effects may include: nausea ; headache , dizziness ; tired feeling; or sleep problems ( insomnia )."
Dovato,AIDS/HIV,dolutegravir and lamivudine,"Stop taking this medicine and get emergency medical help if you have signs of an allergic reaction to Dovato: fever, general ill feeling, trouble breathing, tiredness; joint or muscle pain, blisters or mouth sores, redness or swelling in your eyes; blistering or peeling skin; swelling of your face, lips, tongue, or throat. Mild symptoms of lactic acidosis may worsen over time , and this condition can be fatal. unusual muscle pain, trouble breathing, stomach pain, vomiting, fast or irregular heart rate, dizziness, feeling cold, or feeling very weak or tired. Call your doctor at once if you have: the first sign of any skin rash , no matter how mild; or liver problems - nausea , vomiting , loss of appetite, upper stomach pain, dark urine, clay-colored stools, jaundice (yellowing of the skin or eyes). Dolutegravir and lamivudine affects your immune system, which may cause certain side effects (even weeks or months after you've taken this medicine). Tell your doctor if you have: signs of a new infection - fever, night sweats , swollen glands, cold sores , cough, wheezing, diarrhea , weight loss ; trouble speaking or swallowing, problems with balance or eye movement, weakness or prickly feeling; or swelling in your neck or throat (enlarged thyroid), menstrual changes, impotence . Common Dovato side effects may include: headache ; tiredness; nausea, diarrhea; or sleep problems ( insomnia )."
